Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
05/07/2026 10:00 AM ET,"5607 S SCARLET OAK TER HOMOSASSA, FL- 34446","$93,562.88","$113,736.00",Hidden,2023 CA 000802 A,2268051,https://citrus.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2023%20CA%20000802%20A&bypassPage=1,https://pcpao.gov/Parcel-Details/2268051
05/07/2026 10:00 AM ET,"8421 W DOE LN HOMOSASSA, FL- 34448","$97,465.95","$116,471.00","$97,465.95",2025 CA 000109 A,1941989,https://citrus.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025%20CA%20000109%20A&bypassPage=1,https://pcpao.gov/Parcel-Details/1941989
05/07/2026 10:00 AM ET,"5144 N EVANSTON TER HERNANDO, FL- 34442","$57,356.20","$144,505.00","$57,356.20",2025 CA 000231 A,1609801,https://citrus.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025%20CA%20000231%20A&bypassPage=1,https://pcpao.gov/Parcel-Details/1609801
05/14/2026 10:00 AM ET,"8467 W DOE LN HOMOSASSA, FL- 34448","$15,221.34","$118,939.00","$15,221.34",2025 CA 000255 A,2596953,https://citrus.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025%20CA%20000255%20A&bypassPage=1,https://pcpao.gov/Parcel-Details/2596953
05/14/2026 10:00 AM ET,"28 N WASHINGTON ST BEVERLY HILLS, FL- 34465","$129,930.38","$117,117.00","$129,930.38",2025 CA 000834 A,1459664,https://citrus.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025%20CA%20000834%20A&bypassPage=1,https://pcpao.gov/Parcel-Details/1459664
05/21/2026 10:00 AM ET,"5985 E CHAPEL LN INVERNESS, FL- 34452","$167,345.25","$184,167.00","$167,345.25",2022 CA 000330 A,1803527,https://citrus.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2022%20CA%20000330%20A&bypassPage=1,https://pcpao.gov/Parcel-Details/1803527
05/21/2026 10:00 AM ET,"9004 N ATHENS DR CITRUS SPRINGS, FL- 34433","$72,846.18","$112,883.00","$72,846.18",2023 CA 000722 A,1315565,https://citrus.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2023%20CA%20000722%20A&bypassPage=1,https://pcpao.gov/Parcel-Details/1315565
05/21/2026 10:00 AM ET,"4374 E THUNDERHILL LOOP HERNANDO, FL- 34442","$102,161.61","$120,488.00","$102,161.61",2025 CA 000123 A,2929561,https://citrus.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025%20CA%20000123%20A&bypassPage=1,https://pcpao.gov/Parcel-Details/2929561
05/21/2026 10:00 AM ET,"753 NE 9TH ST CRYSTAL RIVER, FL- 34428","$1,167,591.99","$598,160.00","$1,167,591.99",2025 CA 000685 A,3116980,https://citrus.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025%20CA%20000685%20A&bypassPage=1,https://pcpao.gov/Parcel-Details/3116980
05/28/2026 10:00 AM ET,"2818 W GLEN ST LECANTO, FL- 34461","$141,272.12","$209,701.00","$141,272.12",2025 CA 000224 A,2569921,https://citrus.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025%20CA%20000224%20A&bypassPage=1,https://pcpao.gov/Parcel-Details/2569921
